Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-56.5205728--33.3766462 53 1 1 1 3 4 6 7 8 11 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5224147--33.3757994 43 1 1 1 2 5 7 7 9 11 11 12 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5234439--33.3753314 52 1 1 1 3 6 7 7 9 10 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5253924--33.3744556 37 1 1 1 3 5 6 7 8 10 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5234439--33.3753314 45 1 1 1 3 6 7 7 9 10 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5210843--33.3774581 44 1 1 1 2 3 5 7 8 10 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5225618--33.377819 60 1 1 2 2 3 5 7 9 10 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5229576--33.3766137 64 1 1 1 3 4 7 7 9 11 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5234976--33.3774001 43 1 1 1 2 3 5 8 9 10 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5239497--33.376147 24 1 1 1 1 5 6 8 8 10 11 12 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5244811--33.3769535 64 1 1 1 2 4 6 8 8 10 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5258989--33.3752632 39 1 1 1 2 4 7 7 8 9 11 12 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5264323--33.3760783 75 1 1 1 1 4 7 7 7 9 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5239497--33.376147 36 1 1 1 1 5 6 8 8 10 11 12 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14
-56.5244811--33.3769535 0 1 1 1 2 4 6 8 8 10 11 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
-56.5230983--33.3786332 24 1 1 2 2 3 4 7 9 9 10 12 12 13 13 13 13 13 13 14 14 14 14 14 14 14 14
-56.5240412--33.3782108 53 1 1 2 2 3 4 8 9 10 11 12 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14
-56.5250104--33.3777885 24 1 1 1 2 2 6 7 9 9 10 12 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14
