Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-55.5890547--30.9144418 6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5830544--30.910481 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5857719--30.9089776 25 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
-55.5924608--30.910992 41 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5878798--30.9105711 9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5883091--30.9090064 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5878798--30.9105711 15 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5896405--30.9098617 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5851971--30.9092952 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5864642--30.908595 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
-55.5881312--30.9052582 41 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
-55.592332--30.9079713 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5940963--30.9124609 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5930575--30.9093686 26 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5939674--30.9088782 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5930575--30.9093686 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5905946--30.9094772 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
-55.5670586--30.9170156 40 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 3 7 7 9 11 13 13
-55.5674447--30.8845222 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 6 8 8 9 10 12 12 12
-55.5669391--30.8855283 68 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 5 8 8 9 10 11 12 12 12
-55.5683842--30.8837667 40 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 6 8 8 9 10 12 12 12
-55.5699076--30.8849964 72 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 5 8 8 9 10 12 12
-55.570146--30.8877483 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 7 10 11 12 12 12
-55.5652641--30.8840967 137 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 5 8 8 9 10 12 12 12 12 12
-55.5685328--30.8917488 75 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 5 7 10 11 12 12 12 12 13 13
-55.5641343--30.8925996 31 1 1 1 1 1 1 1 1 1 2 2 2 2 4 7 10 11 12 12 12 12 12 13 13 13 13
-55.5641343--30.8925996 42 1 1 1 1 1 1 1 1 1 2 2 2 2 4 7 10 11 12 12 12 12 12 13 13 13 13
-55.563441--30.8913975 124 1 1 1 1 1 1 1 1 1 1 2 2 2 2 4 7 10 11 12 12 12 12 12 13 13 13
-55.5645335--30.8918829 87 1 1 1 1 1 1 1 1 1 1 2 2 2 2 5 8 10 11 12 12 12 12 13 13 13 13
-55.5643381--30.8900034 95 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 5 7 10 11 12 12 12 12 13 13 13
-55.5617724--30.8742886 88 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10
-55.5595624--30.8738974 89 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10
-55.5535517--30.8791359 283 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 5 7 8 8 8 10 10 12 12 12 12
-55.5601618--30.8720809 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10
-55.563358--30.8734719 68 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 9 10
-55.5592007--30.8765889 42 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12
-55.5557436--30.8818176 144 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12
-55.554473--30.88144 76 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 9 10 11 12 12 12 12 12 13
-55.5552153--30.8810287 75 1 1 1 1 1 1 1 1 1 1 2 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12
-55.5546603--30.8802676 93 1 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12
-55.555456--30.8798789 56 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 9 10 11 12 12 12 12 12
-55.5597558--30.8802419 28 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12
-55.5574004--30.8798181 113 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12
-55.5584739--30.8813071 99 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12
-55.5587236--30.8802447 30 1 1 1 1 1 1 1 1 1 1 1 1 3 3 4 7 7 8 8 10 10 11 12 12 12 12
-55.5556203--30.8787481 88 1 1 1 1 1 1 1 1 1 1 1 1 2 3 4 7 7 8 8 10 10 11 12 12 12 12
-55.5559725--30.8806092 144 1 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12
-55.555456--30.8798789 155 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 9 10 11 12 12 12 12 12
-55.5576088--30.8765298 99 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 4 7 8 8 8 10 10 11 12 12
-55.5579639--30.8776907 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12
-55.5594302--30.8777406 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12
-55.5584261--30.8770292 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12
-55.5637491--30.8831104 97 1 1 1 1 1 1 1 1 1 1 1 1 1 2 4 5 8 8 9 10 12 12 12 12 12 12
-55.5568906--30.8833749 129 1 1 1 1 1 1 1 1 1 1 2 3 3 5 7 8 8 8 10 11 12 12 12 12 12 12
-55.558415--30.8825741 109 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 9 10 12 12 12 12 12 12
-55.5601885--30.8838067 59 1 1 1 1 1 1 1 1 1 1 1 3 3 4 7 8 8 8 10 11 12 12 12 12 12 12
-55.5568906--30.8833749 60 1 1 1 1 1 1 1 1 1 1 2 3 3 5 7 8 8 8 10 11 12 12 12 12 12 12
-55.5576458--30.8829823 32 1 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12
-55.558415--30.8825741 31 1 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 9 10 12 12 12 12 12 12
-55.5585533--30.8857307 34 1 1 1 1 1 1 1 1 1 1 2 3 4 7 8 8 9 10 12 12 12 12 12 12 12 13
-55.5593277--30.8853159 52 1 1 1 1 1 1 1 1 1 1 1 3 4 7 8 8 9 10 11 12 12 12 12 12 12 13
-55.5601651--30.8848553 85 1 1 1 1 1 1 1 1 1 1 1 2 3 5 7 8 8 9 10 12 12 12 12 12 12 13
-55.5609234--30.8855762 30 1 1 1 1 1 1 1 1 1 1 1 2 4 5 8 8 9 10 11 12 12 12 12 12 12 13
-55.5579998--30.8849531 80 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 11 12 12 12 12 12 12 13
-55.557448--30.8841703 76 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5587778--30.8845466 67 1 1 1 1 1 1 1 1 1 1 2 3 3 7 7 8 8 9 10 12 12 12 12 12 12 13
-55.5610053--30.8876643 56 1 1 1 1 1 1 1 1 1 1 1 3 5 7 8 9 10 12 12 12 12 12 12 13 13 13
-55.5599963--30.8874434 57 1 1 1 1 1 1 1 1 1 1 1 3 5 7 8 9 10 12 12 12 12 12 12 13 13 13
-55.5591278--30.8865282 97 1 1 1 1 1 1 1 1 1 1 2 3 5 8 8 8 10 11 12 12 12 12 12 12 13 13
-55.5599145--30.8861266 62 1 1 1 1 1 1 1 1 1 1 1 2 4 6 8 8 9 10 12 12 12 12 12 12 13 13
-55.5500545--30.8854377 11 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13 13
-55.5535517--30.8791359 0 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 5 7 8 8 8 10 10 12 12 12 12
-55.5517599--30.8797 153 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12
-55.5514624--30.8808143 113 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5524928--30.8824388 23 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13
-55.5543239--30.8815226 0 1 1 1 1 1 1 1 1 1 1 3 3 4 7 8 8 8 10 10 11 12 12 12 12 12 13
-55.5538954--30.8806667 0 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12
-55.5543239--30.8815226 57 1 1 1 1 1 1 1 1 1 1 3 3 4 7 8 8 8 10 10 11 12 12 12 12 12 13
-55.5537565--30.8807386 50 1 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12 12 12 12
-55.5533956--30.8819871 77 1 1 1 1 1 1 1 1 1 2 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5519742--30.8818532 67 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 9 10 11 12 12 12 12 12 13 13
-55.5550092--30.8822074 0 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13
-55.5548584--30.8822865 93 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13
-55.5545214--30.8835612 65 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5539555--30.8827699 45 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5517059--30.8828325 49 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13
-55.5521268--30.8844397 49 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12 13 13
-55.5530509--30.8832416 94 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13
-55.557238--30.8853508 0 1 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 9 10 11 12 12 12 12 12 12 13
-55.5566834--30.8845818 0 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5565439--30.8846554 133 1 1 1 1 1 1 1 1 1 2 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5542711--30.8849142 68 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13
-55.5559923--30.8838646 80 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13
-55.5571669--30.8864551 10 1 1 1 1 1 1 1 1 1 1 3 3 5 7 8 8 9 10 12 12 12 12 12 12 12 13
-55.5552917--30.8863822 70 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12 12 12 12 13 13
-55.5538175--30.8850082 47 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 10 12 12 12 12 12 12 13 13
-55.5552917--30.8863822 73 1 1 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12 12 12 12 13 13
-55.5538246--30.8860905 78 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.5521809--30.8847968 77 1 1 1 1 1 1 1 1 2 3 4 7 7 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.5532553--30.8852945 99 1 1 1 1 1 1 1 1 2 3 4 7 7 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.554379--30.8868658 94 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13
-55.5538246--30.8860905 89 1 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13
-55.5516587--30.8883072 88 1 1 1 1 1 1 2 3 3 6 7 8 8 8 10 11 12 12 12 12 12 12 13 13 13 13
-55.5525824--30.8878178 73 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5515783--30.8872761 18 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 12 12 12 12 12 12 13 13 13 13
-55.5520173--30.8870444 40 1 1 1 1 1 1 1 3 3 5 7 8 8 8 10 10 11 12 12 12 12 12 13 13 13 13
