NodesOrigin NodeDestination TravelTime
-55.5489945--30.9392408 -55.5408045--30.8940981 5814.801589165325
-55.5489945--30.9392408 -55.5429827--30.8975041 5378.257218447195
-55.5489945--30.9392408 -55.5446627--30.9072855 4078.0120683983355
-55.5489945--30.9392408 -55.555358--30.8917376 6606.917027319334
-55.5489945--30.9392408 -55.5367526--30.9026954 4620.824621746001
-55.5489945--30.9392408 -55.5458412--30.908663 3883.515268841215
-55.5489945--30.9392408 -55.5480177--30.9348957 511.8240476232904
-55.5489945--30.9392408 -55.5432647--30.9046453 4381.263513267424
-55.5489945--30.9392408 -55.5387842--30.8983692 5198.357113538288
-55.5489945--30.9392408 -55.535206--30.8968925 5217.579639301002
-55.5489945--30.9392408 -55.5408345--30.8994459 5025.559056164822
-55.5489945--30.9392408 -55.5479583--30.8988977 5291.984602718072
-55.5468084--30.8902506 -55.5408045--30.8940981 771.9495865240017
-55.5468084--30.8902506 -55.5429827--30.8975041 1354.4444269474402
-55.5468084--30.8902506 -55.5446627--30.9072855 2609.8761073971855
-55.5468084--30.8902506 -55.555358--30.8917376 1170.894913836384
-55.5468084--30.8902506 -55.5367526--30.9026954 2153.301561488027
-55.5468084--30.8902506 -55.5458412--30.908663 2775.3525348589014
-55.5468084--30.8902506 -55.5480177--30.9348957 6080.776871725502
-55.5468084--30.8902506 -55.5432647--30.9046453 2263.1118299634213
-55.5468084--30.8902506 -55.5387842--30.8983692 1478.430736954043
-55.5468084--30.8902506 -55.535206--30.8968925 1364.265601165571
-55.5468084--30.8902506 -55.5408345--30.8994459 1575.4868236179998
-55.5468084--30.8902506 -55.5479583--30.8988977 1276.1880848000471
-55.5519742--30.8818532 -55.5408045--30.8940981 1817.9118362800336
-55.5519742--30.8818532 -55.5429827--30.8975041 2406.6374291606508
-55.5519742--30.8818532 -55.5446627--30.9072855 3662.069109610396
-55.5519742--30.8818532 -55.555358--30.8917376 1266.3772142546575
-55.5519742--30.8818532 -55.5367526--30.9026954 3190.4837949535213
-55.5519742--30.8818532 -55.5458412--30.908663 3827.545537072112
